date,mean,std,q05,q25,q50,q75,q95
2008-03-05,0.18746982565936524,0.04597126083849468,0.13,0.16,0.18,0.2,0.29
2008-03-13,0.21965131873044255,0.04684659538965486,0.14,0.19,0.22,0.24,0.32
2008-03-21,0.22157800625838178,0.04592626711030942,0.16,0.19,0.21,0.24,0.33
2008-03-29,0.24716137684398753,0.05675817756972822,0.16,0.22,0.24,0.26,0.35000000000000003
2008-04-06,0.22526821636119806,0.05604321752672666,0.14,0.19,0.22,0.25,0.33
2008-04-14,0.2605252570406795,0.05793662941270833,0.16,0.23,0.26,0.28,0.37
2008-04-22,0.3136499776486365,0.07639464137256001,0.19,0.25,0.32,0.37,0.44
2008-04-30,0.3651117568171659,0.0887790249485046,0.22000000000000003,0.31,0.37,0.42,0.5134999999999945
2008-05-08,0.38560572194903897,0.08380081607887002,0.23000000000000004,0.33,0.4,0.45,0.51
2008-05-16,0.4116718819848011,0.08731771909849473,0.25,0.35000000000000003,0.41000000000000003,0.47000000000000003,0.54
2008-05-24,0.352552525704068,0.05703180095503069,0.25,0.32,0.36,0.39,0.44
2008-06-01,0.48392489941886463,0.0938305651635929,0.3,0.43,0.49,0.54,0.61
2008-06-09,0.5156437192668754,0.11457897125809005,0.32,0.45,0.51,0.59,0.7000000000000001
2008-06-17,0.5252123379526151,0.11714592098540702,0.33,0.44,0.52,0.62,0.71
2008-06-25,0.579047831917747,0.11261267517352742,0.38,0.51,0.58,0.65,0.76
2008-07-03,0.6072276110985788,0.14024938902265316,0.34,0.52,0.61,0.72,0.8
2008-07-11,0.4545086966342896,0.14009000818835257,0.24,0.36,0.43,0.56,0.6900000000000001
2008-07-19,0.5495587905935051,0.09897235785154415,0.35,0.5,0.5700000000000001,0.61,0.67
2008-07-27,0.4798298548094374,0.16716107487274215,0.20999999999999996,0.33,0.5,0.63,0.72
2008-08-04,0.6373670093875726,0.08630416754882349,0.48,0.59,0.64,0.7000000000000001,0.77
2008-08-12,0.398385075477072,0.1441040473673804,0.18,0.3,0.4,0.48,0.68
2008-08-20,0.5865932089048798,0.14272232497117798,0.32,0.49,0.62,0.68,0.78
2008-08-28,0.5525301743406348,0.09434568498834241,0.38,0.49,0.56,0.63,0.6900000000000001
2008-09-05,0.6237760358342666,0.07407773532099662,0.49,0.59,0.63,0.66,0.73
2008-09-13,0.3805060532687651,0.10923134738477563,0.2,0.31,0.37,0.45,0.58
2008-09-21,0.6855520786767992,0.05742750452302177,0.59,0.66,0.6900000000000001,0.72,0.77
2008-09-29,0.6759387572641932,0.0613634154619044,0.5465000000000001,0.64,0.6900000000000001,0.72,0.76
2008-10-07,0.6643048725972284,0.05528786000529001,0.56,0.64,0.68,0.6900000000000001,0.73
2008-10-15,0.5719088064371927,0.03943527030228862,0.51,0.55,0.58,0.6,0.63
2008-10-23,0.6033527045149755,0.07320815790341227,0.4700000000000001,0.56,0.61,0.65,0.71
2008-10-31,0.4920026821636119,0.07340747929840305,0.35000000000000003,0.45,0.49,0.53,0.64
2008-11-08,0.4467076441662941,0.093665011960084,0.28,0.39,0.46,0.5,0.61
2008-11-16,0.38585158694680377,0.08498153241982195,0.25,0.33,0.39,0.44,0.53
2008-11-24,0.3526821636119803,0.0833995157145722,0.22000000000000003,0.28,0.36,0.42,0.49349999999999455
2008-12-02,0.3273379526151095,0.07590225435573086,0.22000000000000003,0.28,0.33,0.37,0.4700000000000001
2008-12-10,0.2954313813142602,0.07791886452477068,0.18,0.24,0.29,0.35000000000000003,0.43000000000000005
2008-12-18,0.2701452838623156,0.06207988992067873,0.17,0.23,0.26,0.3,0.37
2008-12-26,0.24532409476978095,0.05718704080299371,0.16,0.22,0.23,0.27,0.36
2009-01-01,0.241344098248806,0.06012260307365618,0.16000000000000003,0.21,0.23,0.27,0.37
2009-01-09,0.24211962701842163,0.05831857696668939,0.16000000000000003,0.21,0.23,0.28,0.35000000000000003
2009-01-17,0.23078462588128268,0.05520526964738901,0.16000000000000003,0.19,0.23,0.25,0.33
2009-01-25,0.21937912212872412,0.0531663020634241,0.15,0.18,0.21,0.24,0.33
2009-02-02,0.2164680463952695,0.048872781062638274,0.15,0.18,0.22,0.23,0.32000000000000006
2009-02-10,0.20148737775756198,0.046262819586707485,0.14,0.17,0.19,0.23,0.3
2009-02-18,0.19878326131453264,0.042790407551246905,0.13,0.17,0.2,0.22,0.27
2009-02-26,0.19617693882192402,0.050482399632343654,0.13,0.16,0.18,0.23,0.3
2009-03-06,0.23790766431657948,0.05364611361894088,0.15,0.22,0.24,0.25,0.33
2009-03-14,0.22364566750056858,0.045199529720066155,0.13,0.2,0.22,0.25,0.3
2009-03-22,0.28284739595178526,0.06763887339504841,0.17,0.24,0.28,0.33,0.41000000000000003
2009-03-30,0.26132590402547196,0.06401644727599488,0.16000000000000003,0.23,0.26,0.31,0.35000000000000003
2009-04-07,0.29858539913577437,0.07478906914117246,0.16000000000000003,0.25,0.31,0.34,0.41000000000000003
2009-04-15,0.3522970206959291,0.08232354626961277,0.20999999999999996,0.3,0.35000000000000003,0.41000000000000003,0.48
2009-04-23,0.3521810325221742,0.08471572001508308,0.18,0.3,0.37,0.41000000000000003,0.48
2009-05-01,0.32943143052080964,0.06811537286165537,0.20999999999999996,0.29,0.35000000000000003,0.38,0.42
2009-05-09,0.43577666590857406,0.10042741576454117,0.27,0.36,0.44,0.51,0.59
2009-05-17,0.4940163748010007,0.10446466281425788,0.3,0.42,0.51,0.58,0.6400000000000001
2009-05-25,0.456502160564021,0.08420358711010702,0.33000000000000007,0.39,0.47000000000000003,0.53,0.6
2009-06-02,0.48264271093927674,0.09617436842705951,0.34,0.4,0.48,0.55,0.6400000000000001
2009-06-10,0.5088287468728679,0.08416207012303628,0.38,0.44,0.52,0.5700000000000001,0.6400000000000001
2009-06-18,0.5489538321582897,0.11423733083843815,0.36,0.46,0.55,0.63,0.73
2009-06-26,0.4815725900116144,0.07962434094833543,0.35,0.44,0.48,0.53,0.62
2009-07-04,0.44900688073394496,0.08926740545925003,0.29,0.38,0.47000000000000003,0.51,0.58
2009-07-12,0.5051047180667434,0.1439744713924055,0.3,0.39,0.49,0.62,0.74
2009-07-20,0.6401538461538461,0.10088266811652676,0.47,0.5700000000000001,0.64,0.7000000000000001,0.8
2009-07-28,0.6192272612110464,0.18195692083693743,0.25,0.51,0.67,0.75,0.8499999999999999
